id,ref,alt._#,exc,garden_#_(PPM),peristyle_type,garden_size,peristyle_size,property_size,percent_of_property,shape,peristyle_proportion,orientation_of_peristyle,alignment_with_atrium,direction_from_atrium,peristyle_direction_from_main_entrance,peristyle_direction_from_2nd_entrance,atria,atrium_column_style,tablinum,tablinum_type,access_to_garden...23,pluteus,pluteus_height,pluteus_width,pluteus_description,pluteus_decoration,fence,fence_height,order,walkways,walkway_sides...33,walkway_width_min,walkway_width_max...35,narrowest_walkway_dir,widest_walkway_dir,portico_sides...38,columns,pillars,total_frstdng_supports,engaged,column_material,bases,main_shaft_decoration,lower_shaft_decoration,lower_decoration_height,lower_decoration_proportion,pillar_surface_treatment,column_diameter,column_height,proportion,walkway_width_max...53,avg_intercolumniation,intercolumniation_range,intercolumniation_deviation,ratio_diam_to_intercolumniation,decoration,painting_style...59,pavement,furniture,table_(Moss/_Cohon),table_position...63,sculpture,oscillae,water...66,dining,other_features,cisterns,other_finds,other_gardens...71,visible_from_entrance?,visible_from_atrium?,orientation,private_bath,plants...76,atrium_direction...77,largest_room_direction...78,notes...79,water...80,pools...81,pool_surface,pool_position...83,pool_depth,fountain_in_pool,channel_material,channel_type,channel_width,channel_sides,fountains...90,date_(Richardson),entrance_from_street?,lararium_(Boyce/Orr)...93,upper_story,large_room_on_axis?,...96,...97,connection_to_water_supply,rooms_accessed...99,#_areas_accessed,lararium_(Boyce),altar...102,aedicula,simple_niche,sacellum...105,walkway_notes,pools...107,pool_position...108,rectangular,rect_with_exedra,square,apsidal,circular,semicircular,other,painting_style...116,garden_painting,myth_painting,landscape,animal_painting,other_painting,access_to_garden...122,atrium_direction...123,largest_room_direction...124,other_gardens...125,connection_to_water,building_type,rooms_accessed...128,stairs/_corridors_accessed,total_areas_accessed,visited?,measured?,entrance_photo?,walkway_sides...134,portico_sides...135,walkway_N,walkway_S,walkway_E,walkway_W,portico_N,portico_S,portico_E,portico_W,shrine_direction,aedicula_(on_axis),niche_w/_aedicula,niche,altar...148,painting,sacellum...150,lararium_(Boyce/Orr)...151,tables,cupboards,triclinia_(masonry),triclinia_(wood),seating,1_support_table,2_support_table,3_support_table,4_support_table,notes...161,table_position...162,table_function,fountains...164,pools...165,plants...166,cavities,planters_/boxes,vines,furrows_/beds,unspecified,brick_supports,opus_mixtum_supports,masonry_supports,stone_supports,stone_blocks
VIII.03.18_House of Diana,"Mazois 2, p.12.1; Nicc 2 dg 66; Breton 499; Fior Des 327",NA,NA,10,truncated,NA,135,410,0.32926829268292684,rectangle,NA,E-W,aligned,E,not visible,N,1 tuscan,NA,no,NA,NA,yes,NA,NA,NA,y-painted red,NA,NA,Doric,3,"3 (N, E, W)",NA,NA,NA,NA,"3 (N, E, W)",8,0,8,1 column SW; 5 pilasters supporting an arcade S,brick and plaster,no,fluted,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,no?,yes (from NE),NA,NA,NA,NA,NA,peristyle has engaged arcade S (compare H. of the Arches) (PPM 8a:413); Houses VIII.3.18 and VIII.3.16 separated after earthquake?,NA,NA,NA,NA,NA,NA,NA,square,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,atrium 2 or entrance VIII.3.16,W,N,no,NA,res,"1 room, 1 storage/closet",NA,2,no,no,yes,"3 (N, E, W)","3 (N, E, W)",1,NA,1,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,brick,brick,brick,brick
VIII.03.21_house,Nicc 2 dg 66; Fior Des 328; Boyce 76,NA,NA,"7, 8",truncated,NA,40,215,0.18604651162790697,NA,NA,N-S,NA,NA,E,NA,0,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,unknown,2,"2 (S, E)",NA,NA,NA,NA,"2 (S, E)",1,0,1,NA,unknown,NA,unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,perhaps masonry table for dining (FiorDes 328),aedicula niche N,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"niche, arched, with aedicula façade N (356)",NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,corridor 2 from entrance,NA,E,no,NA,NA,4,NA,4,no,no,yes,"2 (S, E)","2 (S, E)",NA,1,1,NA,NA,1,1,NA,N,NA,N,NA,NA,NA,NA,"niche, arched, with aedicula façade N (356, Gb V73))",1 masonry,NA,NA,NA,NA,NA,NA,NA,NA,perhaps masonry table for dining (FiorDes 328),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,brick and masonry,brick and masonry,brick and masonry,brick and masonry
VIII.03.24_House of Apollo and Coronis,Nicc 2 66; Breton 499; Fior Des 328; Pernice 15,NA,NA,3,truncated,NA,140,575,0.24347826086956523,NA,NA,N-S,NA,NA,E,NA,0,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,Doric,3,"3 (N, E, W)",NA,NA,NA,NA,"3 (N, E, W)",5,1 L-shaped,6,1,"brick and plaster, tufa capitals",NA,unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1st style on S; 4th style on N/W (PPM 8:420) (Mau 1882, 97)",1st/4th (PPM 8:418),cocciopesto,NA,no,NA,NA,NA,NA,NA,2 stone puteals,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3 (N, E, W)",NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1st/4th (PPM 8:418),NA,NA,NA,NA,NA,entrance corridor 1,NA,E,1 hort,NA,NA,"12 rooms, 3 corridors, 1 hortus",3,16,no,no,yes,"3 (N, E, W)","3 (N, E, W)",1,NA,1,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,brick and masonry,brick and masonry,brick and masonry,brick and masonry
VIII.03.27_house,Nicc 2 66; Fior Des 330,NA,NA,2,truncated,NA,120,335,0.3582089552238806,NA,NA,E-W,NA,NA,E,NA,0,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,Doric,2,"2 (S, W)",NA,NA,NA,NA,"2  (S, W)",5,0,5,2,"masonry and plaster, some stone; stone capitals",no,unfluted,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,PPM (8:445) says capitals are Tuscan,NA,NA,NA,NA,NA,NA,stone,square?,NA,"2 (S, W)",NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,entrance corridor 1,NA,S/W,no,NA,NA,"9 rooms (all), 1 stair",1,10,no,no,yes,"2 (S, W)","2  (S, W)",NA,1,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,brick and masonry (opus listatum) and plaster,brick and masonry (opus listatum) and plaster,brick and masonry (opus listatum) and plaster,brick and masonry (opus listatum) and plaster
VIII.03.31_House of Pan,Nicc 2 66; Breton 500; Fior Des 331,NA,1829-30,3,truncated,NA,170,615,0.2764227642276423,NA,NA,square,non-standard,S,not visible,NA,1 tuscan,NA,yes,door (not to garden),NA,no,NA,NA,NA,NA,NA,NA,Doric,2,"2 (N, W)?",NA,NA,NA,NA,"2 (N, W)",6,0,6,1,stone,no,unfluted?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes (E),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ala 7 from atrium or room 2 from VIII.3.28,N,E,no,NA,res,"9 rooms, 1  corridor?",1,10,no,no,yes,"2 (N, W)?","2 (N, W)",1,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,brick/masonry and plaster,brick/masonry and plaster,brick/masonry and plaster,brick/masonry and plaster,brick/masonry and plaster
VIII.04.04_House of Holconius Rufus,Dyer 1871:450,NA,1861,23,tru,NA,280,715,39,NA,1.1000000000000001,N-S,aligned,S,S,NA,1 Tuscan,NA,"yes, wide door",NA,tablinum or andron (1),"partial, also fence",NA,NA,"brick and rubble, traces of decoration (vertical line) on plaster",zebra stripes in square panels separated by red vertical bands (still partly preserved); white ground?,yes,NA,Doric-other,4,"N, S, E, W",2.6,4.5,E,W,NA,10,4,14,NA,brick with plaster,no,fluted upper,reeded and yellow to 1.3,1.3,0.32,NA,63,4.09,6.5:1,4.5 (west),NA,variety,"1.1 (N/S), .2 (E/W)",NA,4th style,4th,cocciopesto?,marble table in garden NW,"A348 fluted monopodium table in center of pool, converted to fountain (681-2)",NA,"yes, statuette of boy with duck",NA,deep square pool with fountain table; stepped fountain with statuette; fountain jets in columns at north and south,NA,possibly a summer triclinium in wide SE walkway,cistern mouth,amphora w/painted inscription,no,yes,yes,aligned,no,?,north,south/east,NE corner interrupted by room 14 resulting in irregular shape,deep square pool with fountain table; stepped fountain with statuette; fountain jets in columns at north and south,1 rectangle 1.4 x 1.3,1.85,center,1.3,yes,coccio,corners rounded,?,NA,yes,NA,yes?,no,NA,yes,NA,NA,yes,9,9,no,NA,NA,NA,NA,NA,1 rectangle 1.4 x 1.3,center,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VIII.04.15_House of Cornelius Rufus,NA,NA,1861,n,tru,NA,325,860,38,NA,1.6,N-S,aligned,S,S,NA,1 Tuscan,NA,"yes, wide door",NA,tablinum (1),"no, cut for fence",NA,NA,NA,NA,yes,115,Doric,4,"N, S, E, W",2.2,3.9,W,S,NA,18,NA,18,NA,stone (tufa) with plaster,no,fluted upper,faceted lower (in stone),NA,NA,NA,57,3.84,6.7:1,3.9 (south),2.5,2.0-3.0,1,4.39,?,NA,?,table supports,Coh 173 (307); supports leaning against wall on E side of peristyle (GdS 1861:349; Fiorelli Scavi 6),NA,?,NA,"rectangular pool with fountain jet (.9 x 1.05), fountain spouts embedded in columns",NA,two cistern heads,two cistern heads,NA,no,yes,yes,aligned,NA,NA,north,east/west,under restoration--some columns blocked by scaffolding,"rectangular pool with fountain jet (.9 x 1.05), fountain spouts embedded in columns",1 rectangular,1.6,south,0.18,yes,stone,square,0.53,NA,yes,NA,"yes, corridor 2",no,NA,yes,NA,NA,NA,5,5,no,NA,NA,NA,NA,NA,1 rectangular,south,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VIII.04.27_House and Bakery of Felix,"Nicc 2:67; Fior Sc 7, Desc. 343; Boyce 76",NA,NA,k/l,truncated,NA,70,350,0.2,quad,NA,E-W,NA,NA,not visible,N,0 (converted to bakery),NA,NA,NA,NA,?,NA,NA,NA,NA,NA,NA,unknown,1,1 (E),NA,NA,NA,NA,1 (E),2,0,2,NA,brick,NA,unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,arched niche N,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,virtually destroyed; visible from peristyle of VIII.4.15 (Cornelius Rufus),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"niche, arched, high on N (363)",NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,rooms f/g from main room or corridor o from VIII.4.29,NA,S/E?,no,NA,ind/com/res,2,NA,2,no,no,no,1 (E),1 (E),NA,NA,1,NA,NA,NA,1,NA,N,NA,NA,N,NA,NA,NA,"niche, arched, high on N (363)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,brick/masonry and plaster,brick/masonry and plaster,brick/masonry and plaster,brick/masonry and plaster,brick/masonry and plaster
VIII.04.33_house,"GdS 1861:382; Nicc 2:67; Fior Sc 8, Des 344--not in PPM",NA,NA,c,truncated,NA,65,160,0.40625,NA,NA,square,NA,NA,not visible,NA,0,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,unknown,2,"2 (N, W)",NA,NA,NA,NA,1 (N),1,0,1,NA,stone,NA,unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,2 marble heads found in room opening onto portico; Bacchic mask in tablinum,1 mask (Dwyer cat 105),NA,NA,NA,NA,NA,NA,yes (walkway only),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2 (N, W)",NA,NA,NA,NA,yes,no?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,entrance corridor a,NA,N,no,NA,res?,"2 rooms (all), 1 stair",1,3,no,no,no,"2 (N, W)",1 (N),1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,brick/masonry and plaster,brick/masonry and plaster,brick/masonry and plaster,brick/masonry and plaster,brick/masonry and plaster
VIII.05.02_House of the Cock,NA,NA,NA,f,tru,NA,350,1295,27,NA,1.42,N-S,aligned,S,S,NA,2 Tuscan,NA,"yes, wide door",NA,tablinum or andron (1),no,NA,NA,NA,NA,yes,NA,Ionic,4,"N, S, E, W",2.6,4.2,E,W,NA,18,NA,18,NA,stone (tufa) with plaster,yes--stone,fully fluted,NA,NA,NA,NA,52,3.99,7.7:1,4.2 (west),2,2,0,3.85,early 3rd style (Bastet 27-8),3rd,unknown,?,NA,NA,none reported,NA,rectangular pool near south end,NA,?,cistern mouth N,?,?,yes,yes,aligned,?,"root cavities of shrubs and plants (Jacono, NSc 1946, 144))",north,east,"under renovation at time of eruption, *west colonnade missing, south colonnade mostly missing",rectangular pool near south end,1 rectangle with exedra 2.5 x 1.1,3.1,south,NA,NA,stone,platforms round,0.51,NA,?,NA,no?,no,NA,no,NA,NA,?,13,13,no,NA,NA,NA,NA,NA,1 rectangle with exedra 2.5 x 1.1,south,NA,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VIII.05.09_house,Fiorelli NSc 1881:322; Mau BdI 1883:175-6,NA,NA,h,truncated,NA,125,595,0.21008403361344538,L,NA,E-W,perp,S,S,NA,1 tuscan,NA,yes,very wide door,NA,no,NA,NA,NA,NA,holes,NA,Ionic,1,1 (N),NA,NA,NA,NA,1 (N),5,0,5,"1 column, 1 pilaster",tufa and plaster,yes,fluted,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,red plaster,other,NA,"cupboard (Allison 2004, 89)",no,NA,NA,NA,NA,NA,square water basin SE; terracotta puteal,NA,"1-2 iron food warmers (fornelli), bronze jug, ceramic jug, amphora",NA,yes,yes,NA,NA,NA,NA,NA,NA,NA,serv--1 rect--utilitarian?,NA,against E edge (SE),NA,NA,NA,NA,NA,"3 (N, E, W)",NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other,NA,NA,NA,NA,NA,"tablinum f, room g, corridor e, door VIII.5.13, or room 10 from VIII.5.14",N,W,no,NA,res/com,3,NA,3,no,no,yes,1 (N),1 (N),1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,serv--1 rect--utilitarian?,NA,NA,NA,NA,NA,NA,brick/stone (opus listatum) and plaster,brick/stone (opus listatum) and plaster,brick/stone (opus listatum) and plaster,brick/stone (opus listatum) and plaster,brick/stone (opus listatum) and plaster
VIII.05.24_House of the Physician / House of the Judgment of Solomon,Breton 456; Sogliano NSc 1882:322-3; Mau BdI 1883:228-30; Nicc 4:19-20,"VIII,5a.6a.6; Fior VIII.6.6",1882,g,truncated,NA,60,140,0.42857142857142855,NA,NA,E-W,perp,S,S,NA,1 tuscan,NA,yes,closed (window to peristyle on side),NA,yes,NA,NA,NA,"y-Judgment of Solomon, Nile scenes, hunts",NA,NA,unknown,3,"3 (N, E, W)",NA,NA,NA,NA,"3 (N, E, W)",4,1,5,NA,"brick, pillar of masonry",no,unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""Judgment of Solomon"" painting on pluteus (MN 113 197)",NA,NA,NA,no,NA,NA,NA,pool,NA,NA,NA,"2 large amphorae filled with lime and crushed lava stone for mortar; 5 cauldrons, bronze vessel, patera (Mau 228), 1 focone",NA,yes (walkway only),yes,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,coccio,NA,NA,"3 (N, E, W)",NA,NA,NA,NA,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,on pluteus,NA,atrium b,NE,W,no,NA,NA,"5 rooms, 1 stair",1,6,2013,no,yes,"3 (N, E, W)","3 (N, E, W)",1,NA,1,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,brick/stone (opus listatum) and rough plaster,brick/stone (opus listatum) and rough plaster,brick/stone (opus listatum) and rough plaster,brick/stone (opus listatum) and rough plaster,brick/stone (opus listatum) and rough plaster
VIII.05.28_House of Popidius Celsinus,NA,Fior VIII.6.10,NA,11,truncated,NA,300,730,0.410958904109589,rectangle,NA,E-W,perp,S,S,NA,1 Tuscan,NA,no,NA,NA,no,NA,NA,NA,NA,"yes, holes at .97 and .5 on N and E",NA,Ionic and Doric,3,"3 (N, E, W)",NA,NA,NA,NA,"2 (N, E)",9,0,9,0,stone and plaster,no,fluted,NA,NA,NA,NA,56,4,7.1,NA,NA,NA,NA,NA,"unknown (Breton 1855, 321)",NA,cocciopesto,NA,no,NA,NA,NA,NA,NA,?,NA,?,NA,yes,yes,NA,NA,NA,NA,NA,"house being renovated, two columns changed from Doric to Ionic; Sogliano says columns are Ionic? (NSc 1882:324, house 5.10)",NA,NA,NA,NA,NA,NA,stone,square,NA,"3  (N, E, W)",NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,atrium 2,N,W,no,NA,res,3,NA,3,2011,2011,yes,"3 (N, E, W)","2 (N, E)",1,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,brick; rubble masonry,brick; rubble masonry,brick; rubble masonry,brick; rubble masonry,brick; rubble masonry
VIII.05.37_House of the Red Walls,"Sogliano NSc 1882:377, 422; Mau BdI 1884:108",NA,1882,p/q,truncated,NA,55,?,NA,square,NA,E-W,perp,N,N,NA,1 tuscan,NA,yes,large window,NA,yes,NA,NA,NA,NA,NA,NA,Doric,3,"3 (S, E, W)",NA,NA,NA,NA,1 (E),1,0,1,"3 (1 N, 2 S)",brick and masonry and plaster,NA,"unfluted, white",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,white walls,NA,NA,NA,no,NA,"statuettes of young satyr (MN 120 048), head of herm (MN 120 050); fountain statuettes of crouching lion (MN 120 057), head of tiger (120 049)",NA,fountain statuettes of crouching lion (MN 120 057) and head of tiger (120 049),NA,NA,NA,two large stone weights,NA,yes,yes,NA,NA,NA,NA,NA,S and E walkways very narrow,NA,NA,NA,NA,NA,NA,coccio,rounded (S),NA,4?,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,corridor d or corridor f,S,E,no,NA,res,"1 storage, second access to 3",NA,1,no,no,no,"3 (S, E, W)",1 (E),NA,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sculpture: fountain statuettes of crouching lion (MN 120 057) and head of tiger (120 049),NA,NA,NA,NA,NA,NA,NA,brickand masonry and plaster,brickand masonry and plaster,brickand masonry and plaster,brickand masonry and plaster,brickand masonry and plaster
VIII.05.39_House of Acceptus and Euhodia,"Sogliano NSc 1882:280, 324, 359-60; Mau BdI 1884:127-9; Mau 335-7; Dwyer Osc 281",NA,NA,a/b,truncated,NA,70,215,0.32558139534883723,rectangle,NA,N-S,NA,NA,N,NA,0,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,unknown,1,1 (W),NA,NA,NA,NA,1 (W),2,0,2,NA,brick,NA,unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"walkway with goat, panther, pegasus, and swan (BdI 1884:128)",4th throughout,NA,masonry triclinium with colored marble-faced table; one (2?) monopodium,no,NA,"5 Bacchic heads for herms--one in rosso antico (MN 120 036-040);  fountain sculptures of toad (120 042) and tortoise (120 043), two brackets (120 044, 045); 5 faience statuettes of Egyptian deities (NSc 1882:360; BdI 1884:129; Mau 336)",1 tragic mask (Dwyer cat 106),fountain jet in center of triclinium table; fountain sculptures of toad and tortoise,"masonry triclinium with table; triclinium yellow on top, red with plants on sides","masonry hearth in portico E of entrance doorway; two slabs of marble form little bridges over water channel at entrance in pluteus, cabinet c W of entrance (Mau BdI 1884:127)",NA,"bronze cauldron with iron handles, tweezer, 13 coins, 2 alabaster cylindrical bases  (NSc 1882:359); various objects in cabinet c (Mau BdI 1884:128)",NA,yes,NA,NA,NA,NA,NA,NA,"2-story portico; Mau believes house was owned by Egyptians, which would help explain its unusual form (Mau 336-7)",NA,NA,NA,NA,NA,NA,NA,NA,NA,1 (W),NA,NA,NA,NA,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4th throughout,NA,NA,NA,"yes (N, W)",NA,entrance VIII.5.39,NA,W,1 hort,NA,NA,"5 rooms, 1 corridor, 1 hortus (all)",1,7,no,no,no,1 (W),1 (W),NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1 (Sop 301),NA,NA,1,NA,NA,NA,masonry triclinium with colored marble-faced table; one (2?) monopodium;  cabinet c W of entrance (Mau BdI 1884:127),unknown,NA,triclinium: fountain jet in center of triclinium table; fountain sculptures of toad and tortoise,NA,NA,NA,NA,NA,NA,NA,column yes; pillars op list and plaster,column brick and plaster; pillars op list and plaster,column brick and plaster; pillars op list and plaster,column brick and plaster; pillars op list and plaster,column brick and plaster; pillars op list and plaster
VIII.07.06_house,Mau BdI 1875:164-5; Viola 17; Spano NSc 1910:263-5; Boyce 78; Jash 1:187; Ellis 2010--not in PPM,"VIII.8.6, Viola",1906,g/o,truncated,NA,255,485,0.5257731958762887,NA,NA,other,other,W,W (not visible),NA,1 testud (irregular),NA,yes (irregular),NA,NA,yes,NA,NA,NA,NA,NA,NA,unknown,1,1 (E),NA,NA,NA,NA,1 (E),4,0,4,NA,brick and plaster,NA,"unfluted?; white above, black below",NA,unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,black compartments surrounded by red stripes to height of 1.75,other,NA,masonry triclinium with rectangular table inlaid with colored marble,no,NA,NA,NA,NA,masonry triclinium painted red with rectangular table,"small table with arched niche, top decorated with marble; basin at S edge of triclinium; lararium niche and painting N; pool or basin S of couch (Ellis 2010:19); cooking area near couch (Ellis 20); large dolia",NA,iron axe (Spano NSc 1910:265),NA,yes,yes,NA,NA,"semiform-large tree near portico; longitudinal furrows (Spano, via Jash 2:221); planting pot N of couch (Ellis 2010:19)",NA,NA,access to rooms?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,niche and painting  N (376),NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other,NA,NA,NA,NA,NA,long corridor a from entrance,E,E,no,NA,res,"6?, 1 stair (4 rooms?)",1,6,no,no,no,1 (E),1 (E),NA,NA,1,NA,NA,NA,1,NA,N2,NA,NA,N,NA,N,NA,niche and painting  N (376),NA,NA,1 (Sop 301-2),NA,NA,NA,NA,NA,NA,tric--table rectangular with colored marble pieces on top,NA,NA,NA,NA,"semiform-large tree near portico; longitudinal furrows (Spano, via Jash 2:221); planting pot N of couch (Ellis 2010:19)",yes,NA,NA,yes,NA,E masonry (rubble) and plaster; S yes,E masonry (rubble) and plaster; S brick and plaster,E masonry (rubble) and plaster; S brick and plaster,E masonry (rubble) and plaster; S brick and plaster,E masonry (rubble) and plaster; S brick and plaster
